id,period,sheet_name,source_row,date_display,start_date,end_date,year,title,category,item_kind,count,verification_status,public_note
TV01884,7. Dönem (2021–2026),7. DÖNEM,254,2026-08-11 00:00:00,,,2026,Adalar ve Tarih (Yaz): Ezel Akay – Masalların Demokrasisi,Konferans/Söyleşi,event,1,uncertain_date,
TV01885,7. Dönem (2021–2026),7. DÖNEM,255,2026-08-16 00:00:00,,,2026,Adalar ve Tarih (Yaz): Betül Bakırcı – Akabi Hikayesi ve 19. Yüzyıl İstanbul Ermeni Toplumu,Konferans/Söyleşi,event,1,uncertain_date,
TV01886,7. Dönem (2021–2026),7. DÖNEM,255,2026-08-16 00:00:00,,,2026,"Toplumsal Tarih - 369 sayı. Özel Dosya: “Türkiye'de Avrupa Tarihi Çalışmaları"", Ed. Özden Mercan",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01887,7. Dönem (2021–2026),7. DÖNEM,257,2026-09-08 00:00:00,,,2026,"Adalar: Elif Kevser Özer, Yorgos Katsanos – Apelasis Üzerine Bir Sohbet",Konferans/Söyleşi,event,1,uncertain_date,
TV01888,7. Dönem (2021–2026),7. DÖNEM,258,2026-09-12 00:00:00,,,2026,"Perşembe Konuşmaları: Faruk Eren, Eylem Delikanlı – 12 Eylül'ü Hatırlamak",Konferans/Söyleşi,event,1,uncertain_date,
TV01889,7. Dönem (2021–2026),7. DÖNEM,259,2026-09-15 00:00:00,,,2026,Adalar: Erol Köroğlu – Hüseyin Rahmi Gürpınar'ın Eşcinsel ve Adalı Kimlikleri,Konferans/Söyleşi,event,1,uncertain_date,
TV01890,7. Dönem (2021–2026),7. DÖNEM,260,2026-09-18 00:00:00,,,2026,Panel: Doğaötesinin Bilimle Fethi: Manyetizmacılık ve İspiritizmacılık,Konferans/Söyleşi,event,1,uncertain_date,
TV01891,7. Dönem (2021–2026),7. DÖNEM,260,2026-09-18 00:00:00,,,2026,"Toplumsal Tarih - 370 sayı. Özel Dosya: “Neden Ortaçağ Avrupa Tarihi?"" Ed. Fatih Durgun.",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01892,7. Dönem (2021–2026),7. DÖNEM,262,2026-10-04 00:00:00,,,2026,Ankara: Hazal Pabuççular – Cumhuriyet'in Dış Politikası,Konferans/Söyleşi,event,1,uncertain_date,
TV01893,7. Dönem (2021–2026),7. DÖNEM,263,2026-10-15 00:00:00,,,2026,"Akl-ı Kıssa: Gökçen Beyinli Dinç – Evin İçinde, Caminin Çeperinde",Konferans/Söyleşi,event,1.0,uncertain_date,
TV01894,7. Dönem (2021–2026),7. DÖNEM,264,2026-10-17 00:00:00,,,2026,"Minerva: Nurçin İleri, Gül Köksal, Sırrı Emrah Üçer – Osmanlı'dan Cumhuriyet'e İstanbul'da Elektrikli Yaşam",Konferans/Söyleşi,event,1,uncertain_date,
TV01895,7. Dönem (2021–2026),7. DÖNEM,265,2026-10-18 00:00:00,,,2026,"Ankara: Sadi Özgür – Transleyt, Osmanlıca Metinlerin Çevirisi",Konferans/Söyleşi,event,1,uncertain_date,
TV01896,7. Dönem (2021–2026),7. DÖNEM,266,2026-10-19 00:00:00,,,2026,"Osmanlıca Seminerleri başladı (2. dönem, Ankara + çevrimiçi)",Seminer,event,1,uncertain_date,
TV01897,7. Dönem (2021–2026),7. DÖNEM,267,2026-10-31 00:00:00,,,2026,"Perşembe Konuşmaları: Ömer Turan, Can Cemgil – Kapitalizm ve Demokrasi",Konferans/Söyleşi,event,1,uncertain_date,
TV01898,7. Dönem (2021–2026),7. DÖNEM,267,2026-10-31 00:00:00,,,2026,"Toplumsal Tarih - 371. sayı. Özel Dosya: “Terakkiperver Cumhuriyet Fırkası'nın Kuruluşunun 100. Yılı: Merhumların Karışık İşleri"", Ed. Ahmet Kuyaş.",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01899,7. Dönem (2021–2026),7. DÖNEM,269,2026-11-08 00:00:00,,,2026,Ankara: M. Alper Yalçınkaya – 19. Yüzyıl Osmanlı Dünyasında Bilim ve Bilim İnsanı,Konferans/Söyleşi,event,1,uncertain_date,
TV01900,7. Dönem (2021–2026),7. DÖNEM,270,2026-11-11 00:00:00,,,2026,Bursa Tarih Buluşmaları: İsmail Yaşayanlar – Bursa'da Sanayileşme ve Çevre Kirliliği,Konferans/Söyleşi,event,1,uncertain_date,
