"id","department","visible_to_role","can_see_tasks","can_see_progress","can_see_hours","can_see_shifts","can_see_chat","can_see_announcements","updated_by","updated_at"
"9df8240f-de58-4988-9fc1-dba071100b98","arsiv","all","false","false","false","false","false","true","","2026-04-02T21:56:59.239377+00:00"
"8aceb19f-e682-40a0-a6a8-e2c2658fecc5","egitim","all","false","false","false","false","false","true","","2026-04-02T21:56:59.239377+00:00"
"c0fa2add-a1e2-4c8d-b6ec-16203e9e31cc","etkinlik","all","false","false","false","false","false","true","","2026-04-02T21:56:59.239377+00:00"
"32e00d05-3615-4665-a025-da8499e5857b","dijital","all","false","false","false","false","false","true","","2026-04-02T21:56:59.239377+00:00"
"0fcb3546-ee99-4152-9dc0-d08077a7d1ce","rehber","all","false","false","false","false","false","true","","2026-04-02T21:56:59.239377+00:00"
"08fbf66b-dfeb-44f5-b746-29f1edd5c099","baski","all","false","false","false","false","false","true","","2026-04-02T21:56:59.239377+00:00"
"d555763c-d300-4c1d-a0a2-44bb01d536da","bagis","all","false","false","false","false","false","true","","2026-04-02T21:56:59.239377+00:00"
"e92f8885-2c4c-4e17-9f12-6a4f294534b5","idari","all","false","false","false","false","false","true","","2026-04-02T21:56:59.239377+00:00"
